BLOCK,TREES NAME,SCIENTIFIC NAME,COUNT,CATEGORY
A BLOCK,MANGO,UNKNOWN,3,Fruit
A BLOCK,INDIAN BEECH,UNKNOWN,4,Shade
A BLOCK,ASIAN BULLET WOOD,UNKNOWN,8,Shade
A BLOCK,COCONUT,UNKNOWN,9,Fruit
A BLOCK,NEEM,UNKNOWN,1,Medicinal
A BLOCK,ALMOND,UNKNOWN,1,Fruit
A BLOCK,FIG,UNKNOWN,1,Fruit
A BLOCK,PALM,UNKNOWN,6,Ornamental
A BLOCK,TAMARIND,UNKNOWN,2,Fruit
A BLOCK,BANANA,UNKNOWN,8,Fruit
A BLOCK,GOLDEN BAMBOO,UNKNOWN,12,Ornamental
B BLOCK,ACACIA,UNKNOWN,3,Shade
B BLOCK,HAINANIA,UNKNOWN,4,Shade
B BLOCK,BANANA,UNKNOWN,7,Fruit
B BLOCK,PAPAYA,UNKNOWN,2,Fruit
B BLOCK,NEEM,UNKNOWN,5,Medicinal
B BLOCK,ALMOND,UNKNOWN,2,Fruit
B BLOCK,MONKEY POD,UNKNOWN,1,Shade
B BLOCK,COCONUT,UNKNOWN,3,Fruit
B BLOCK,INDIAN BEECH,UNKNOWN,5,Shade
B BLOCK,ASHOK,UNKNOWN,1,Shade
B BLOCK,CHRISTMAS,UNKNOWN,1,Other
B BLOCK,BIRD CATCHER,UNKNOWN,1,Other
B BLOCK,GULMOHAR,UNKNOWN,2,Other
B BLOCK,JACKFRUIT,UNKNOWN,1,Other
B BLOCK,STERCULIA FOETIDA,UNKNOWN,1,Other
C BLOCK,JACKFRUIT,UNKNOWN,4,Other
C BLOCK,INDIAN BEECH,UNKNOWN,5,Shade
C BLOCK,MANGO,UNKNOWN,7,Fruit
C BLOCK,GUAVA,UNKNOWN,3,Other
C BLOCK,COCONUT,UNKNOWN,13,Fruit
C BLOCK,NEEM,UNKNOWN,2,Medicinal
C BLOCK,PAPAYA,UNKNOWN,1,Fruit
C BLOCK,BANANA,UNKNOWN,18,Fruit
C BLOCK,BRID CATCHER,UNKNOWN,4,Other
C BLOCK,ROYAL PALM,UNKNOWN,10,Ornamental
C BLOCK,CHRISTMAS PALM,UNKNOWN,3,Ornamental
C BLOCK,MONKEY POD,UNKNOWN,1,Shade
C BLOCK,ALMOND,UNKNOWN,1,Fruit
C BLOCK,ASHOK,UNKNOWN,1,Shade
C BLOCK,SAPOTA,UNKNOWN,1,Other
C BLOCK,CONIFER,UNKNOWN,3,Other
D BLOCK,COCONUT,UNKNOWN,1,Fruit
D BLOCK,MANGO,UNKNOWN,1,Fruit
D BLOCK,AFRICAN TULIP,UNKNOWN,2,Other
E BLOCK,ASHOK,UNKNOWN,13,Shade
E BLOCK,NEEM,UNKNOWN,4,Medicinal
E BLOCK,ALMOND,UNKNOWN,1,Fruit
E BLOCK,ROYAL PALM,UNKNOWN,4,Ornamental
E BLOCK,INDIAN BEECH,UNKNOWN,5,Shade
E BLOCK,YELLOW ELDER,UNKNOWN,1,Other
E BLOCK,GOLDEN BAMBOO,UNKNOWN,25,Ornamental
E BLOCK,MONKEY POD,UNKNOWN,6,Shade
E BLOCK,GULMOHAR,UNKNOWN,3,Other
GROUND,NEEM TREE,UNKNOWN,30,Medicinal
GROUND,ALMOND TREE,UNKNOWN,4,Fruit
GROUND,YELLOW ELDER TREE,UNKNOWN,1,Other
GROUND,TAMARIND,UNKNOWN,3,Fruit
GROUND,MANGO TREE,UNKNOWN,2,Fruit
GROUND,ASHOKA TREE,UNKNOWN,23,Shade
GROUND,SACRED FIG TREE,UNKNOWN,1,Fruit
GROUND,GUAVA TREE,UNKNOWN,1,Other
GROUND,COCONUT TREE,UNKNOWN,1,Fruit
GROUND,GULMOHAR TREE,UNKNOWN,6,Other
GROUND,MONKEY POD TREE,UNKNOWN,9,Shade
GROUND,TECTONA TREE,UNKNOWN,9,Other
GROUND,INDAIN BEECH TREE,UNKNOWN,20,Other
GROUND,ASIAN BULLET WOOD,UNKNOWN,4,Shade
GROUND,STERCULIA FOETIDA,UNKNOWN,1,Other
ICSE,INDIAN BEECH,UNKNOWN,7,Shade
ICSE,MONKEY POD,UNKNOWN,3,Shade
ICSE,NEEM,UNKNOWN,5,Medicinal
ICSE,ALMOND,UNKNOWN,3,Fruit
ICSE,BAMBOO CYCAD,UNKNOWN,16,Ornamental
ICSE,ASHOK,UNKNOWN,14,Shade
ICSE,TECTONA,UNKNOWN,2,Other
ICSE,GULMOHAR,UNKNOWN,1,Other
ICSE,PINE,UNKNOWN,1,Other
OUR CAMPUS,NEEM TREE,AZADIRACHTA INDICA,77,Medicinal
OUR CAMPUS,INDIAN BEECH TREE,MILLETTIA PINNATA,79,Shade
OUR CAMPUS,MONKEY POD TREE,SAMANEA SAMAN,38,Shade
OUR CAMPUS,ALMOND TREE,PRUNUS DULCIS,28,Fruit
OUR CAMPUS,BAMBOO CYCAD,CERATOZAMIA HILDAE,31,Ornamental
OUR CAMPUS,ASHOK TREE,SARACA ASOCA,110,Shade
OUR CAMPUS,TECTONA TREE,TECTONA GRANDIS,34,Other
OUR CAMPUS,ORCHID TREE,BAUHINIA VARIEGATA,9,Other
OUR CAMPUS,RAMBUTAN TREE,NEPHELIUM LAPPACEUM,1,Other
OUR CAMPUS,STERCULIA FOETIDA,STERCULIA,2,Other
OUR CAMPUS,PORTIA TREE,THESPESIA POPULNEA,1,Other
OUR CAMPUS,GULMOHAR TREE,DELONIX REGIA,24,Other
OUR CAMPUS,PINE,PINUS ROXBURGHII,3,Other
OUR CAMPUS,BAMBOO TREE,PHYLLOSTACHYS AUREA,23,Ornamental
OUR CAMPUS,PALM TREE,ARECACEAE,21,Ornamental
OUR CAMPUS,SACRED FIG TREE,FICUS RELIGIOSA,5,Fruit
OUR CAMPUS,ASIAN BULLET WOOD,MIMUSOPS ELENGI,38,Shade
OUR CAMPUS,ALEXANDRIAN LAUREL,CALOPHYLLUM INOPHYLLUM,10,Other
OUR CAMPUS,COCONUT TREE,COCOS NUCIFERA,43,Fruit
OUR CAMPUS,FOX TAIL PALM TREE,WODYETIA BIFURCATA,17,Ornamental
OUR CAMPUS,BOTTLE PALM TREE,HYOPHORBE LAGENICAULIS,9,Ornamental
OUR CAMPUS,BANANA TREE,MUSA,50,Fruit
OUR CAMPUS,ROYAL PALM TREE,ROYSTONEA REGIA,43,Ornamental
OUR CAMPUS,PAPAYA TREE,CARICA PAPAYA,8,Fruit
OUR CAMPUS,SAPOTA TREE,MANILKARA ZAPOTA,9,Other
OUR CAMPUS,TAMARIND,TAMARINDUS INDICA,9,Fruit
OUR CAMPUS,MANGO TREE,MANGIFERA INDICA,27,Fruit
OUR CAMPUS,GUAVA TREE,PSIDIUM GUAJAVA,8,Other
OUR CAMPUS,FISHTAIL PALM,CARYOTA,13,Ornamental
OUR CAMPUS,CAPE FIG,FICUS CAPENSIS,7,Fruit
OUR CAMPUS,JAMUN TREE,SYZYGIUM CUMINI,1,Other
OUR CAMPUS,CHILEAN JASMINE,MANDEVILLA LAXA,3,Other
OUR CAMPUS,OLEANDER TREE,NERIUM OLEANDER,1,Other
OUR CAMPUS,CHRISTMAS TREE,ARAUCARIA COLUMNARIS,4,Other
OUR CAMPUS,AFRICAN TALISAY,TERMINALIA MANTALY,8,Other
OUR CAMPUS,COOK PINE,ARAUCARIA COLUMNARIS,1,Other
OUR CAMPUS,AMALTAS TREE,CASSIA FISTULA,1,Other
OUR CAMPUS,FIG TREE,FICUS CARICA,1,Fruit
OUR CAMPUS,GOLDEN BAMBOO TREE,PHYLLOSTACHYS AUREA,65,Ornamental
OUR CAMPUS,ACACIA,GENUS ACACIA,3,Shade
OUR CAMPUS,HAINANIA,HAINANIA TRICHOSPERMA MERR,4,Shade
OUR CAMPUS,BIRD CATCHER TREE,PISONIA GRANDIS,5,Other
OUR CAMPUS,JACKFRUIT TREE,ARTOCARPUS HETEROPHYLLUS,5,Other
OUR CAMPUS,CONIFER TREE,PINOPHYTA,3,Other
OUR CAMPUS,AFRICAN TULIP TREE,SPATHODEA CAMPANULATA,2,Other
OUR CAMPUS,CUSTARD APPLE TREE,ANNONA SQUAMOSA,1,Other
OUR CAMPUS,CHRISTMAS PALM TREE,ADONIDIA MERRILLII,3,Ornamental
OUR CAMPUS,YELLOW ELDER TREE,TECOMA STANS,4,Other
PARKING,ASHOK,UNKNOWN,2,Shade
PARKING,NEEM,UNKNOWN,2,Medicinal
PARKING,ALMOND,UNKNOWN,4,Fruit
PARKING,ASIAN BULLET WOOD,UNKNOWN,3,Shade
PARKING,SACRED FIG,UNKNOWN,2,Fruit
PARKING,INDIAN BEECH,UNKNOWN,5,Shade
