TREES NAME,SCIENTIFIC NAME OF TREE,NUMBER OF TREES
JACKFRUIT TREE,Artocarpus heterophyllus,4
INDIAN BEECH TREE,Millettia pinnata,5
MANGO TREE,Mangifera indica,7
GUAVA TREE,Psidium guajava,3
COCONUT TREE,Cocos nucifera,13
NEEM TREE,Azadirachta indica,2
PAPAYA TREE,Carica papaya,1
BANANA TREE,Musa,18
BRID CATCHER TREE,Pisonia grandis,4
ROYAL PALM TREE,Roystonea regia,10
CHRISTMAS PALM TREE,Adonidia merrillii,3
MONKEY POD TREE,Samanea saman,1
ALMOND TREE,Prunus dulcis,1
ASHOK TREE,Saraca asoca,1
SAPOTA TREE,Manilkara zapota,1
CONIFER TREE ,Pinophyta,3
