TREES NAME,SCIENTIFIC NAME OF TREE,NUMBER OF TREE
NEEM TREE,Azadirachta indica,30
ALMOND TREE,Prunus dulcis,4
YELLOW ELDER TREE,Tecoma stans,1
TAMARIND,Tamarindus indica,3
MANGO TREE,Mangifera indica,2
ASHOKA TREE,Saraca asoca,23
SACRED FIG TREE,Ficus religiosa,1
GUAVA TREE,Psidium guajava,1
COCONUT TREE,Cocos nucifera,1
GULMOHAR TREE,Delonix regia,6
MONKEY POD TREE,Samanea saman,9
TECTONA TREE,Tectona grandis,9
INDAIN BEECH TREE,Millettia pinnata,20
Asian Bullet Wood,MIMUSOPS ELENGI,4
STERCULIA FOETIDA,Sterculia,1
